gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC127086759,184.5926234,2.524297551,0.64886842,3.890307298,0.000100117,0.004906156
LOC127088230,178.4163042,-3.951161134,1.015328011,-3.891511996,9.96214628371273e-05,0.004906156
LOC127132112,24.90783738,-3.462599382,0.889896956,-3.891011602,9.98271590923793e-05,0.004906156
LOC127076223,25.49758883,5.282077926,1.358796996,3.887319401,0.000101357,0.004946892
LOC127105149,131.0266254,3.828925014,0.985575459,3.884963833,0.000102345,0.004975042
LOC127093419,214.2773897,-2.703563803,0.696419824,-3.882089092,0.000103563,0.005014102
LOC127073792,41.73499396,3.427145313,0.883567752,3.878757805,0.000104991,0.005063003
LOC127074025,9.099954744,-7.179519213,1.856348703,-3.867548808,0.000109935,0.005238784
LOC127074505,204.6962659,2.826931525,0.730828438,3.868119216,0.000109678,0.005238784
LOC127101475,580.8243125,2.379674935,0.615074198,3.868923361,0.000109317,0.005238784
LOC127108330,225.8138756,-2.341651213,0.606132878,-3.863263809,0.000111882,0.005310669
LOC127084918,15.40329768,-5.442802665,1.410313103,-3.859286746,0.000113718,0.00537675
LOC127101261,23.50535899,-5.427124219,1.408091598,-3.854240894,0.000116089,0.005467488
LOC127128316,21.14241052,5.259762066,1.366349579,3.849499532,0.000118359,0.0055528
LOC127138536,59.34336186,-3.84227879,0.999566423,-3.843945438,0.000121072,0.005658126
LOC127073588,20.67130624,7.334595484,1.910478914,3.83913972,0.000123466,0.005747825
LOC127135373,24.56667205,-3.852253956,1.003855211,-3.837459739,0.000124314,0.005765103
LOC127084916,167.2348574,-2.41389153,0.629827097,-3.832625715,0.000126783,0.005857171
LOC127083938,30.22587945,-3.606819607,0.94326888,-3.823744941,0.00013144,0.006049233
LOC127106012,192.3190097,-4.042966531,1.0627292,-3.804324313,0.000142192,0.006519278
LOC127096887,15.71652965,-5.525522436,1.453633195,-3.801180694,0.000144008,0.006577644
LOC127086048,8.552322656,-7.084181055,1.869800343,-3.788736633,0.000151415,0.006889967
LOC127073466,80.79275829,-2.486365217,0.657062024,-3.784064709,0.000154288,0.006980889
LOC127086831,19.04258437,5.908017279,1.561474279,3.783614857,0.000154567,0.006980889
LOC127134630,14.39785136,-5.316514347,1.406188579,-3.780797559,0.000156327,0.007034123
LOC127082491,1863.889251,2.489179448,0.659115441,3.776545493,0.000159019,0.007128742
LOC127074260,16.49565353,-5.533330665,1.467536753,-3.770488645,0.000162928,0.00727706
LOC127132662,27.16026902,-4.90401451,1.301008722,-3.769394029,0.000163644,0.007282174
LOC127075274,8.903787353,-7.097993174,1.884659129,-3.766194674,0.000165755,0.00734906
LOC127138624,15.14072548,6.885595895,1.830035202,3.762548331,0.000168191,0.007429859
LOC127091443,28.40730706,-4.720433105,1.255686164,-3.759245933,0.000170426,0.007501234
LOC127097905,35.85411766,3.424437597,0.911771166,3.755808171,0.000172783,0.007577411
LOC127097646,95.6701948,-2.514993253,0.67092013,-3.748573249,0.000177843,0.007771179
LOC127087227,1172.241022,-2.829860501,0.755750009,-3.744439918,0.000180797,0.007871807
